DATE,UNRATENSA,FEDFUNDS,UMCSENT
09/01/18,3.6,1.95,100.1
10/01/18,3.5,2.19,98.6
11/01/18,3.5,2.2,97.5
12/01/18,3.7,2.27,98.3
01/01/19,4.4,2.4,91.2
02/01/19,4.1,2.4,93.8
03/01/19,3.9,2.41,98.4
04/01/19,3.3,2.42,97.2
05/01/19,3.4,2.39,100
06/01/19,3.8,2.38,98.2
07/01/19,4,2.4,98.4
08/01/19,3.8,2.13,89.8
09/01/19,3.3,2.04,93.2
10/01/19,3.3,1.83,95.5
11/01/19,3.3,1.55,96.8
12/01/19,3.4,1.55,99.3
01/01/20,4,1.55,99.8
02/01/20,3.8,1.58,101
03/01/20,4.5,0.65,89.1
04/01/20,14.4,0.05,71.8
05/01/20,13,0.05,72.3
06/01/20,11.2,0.08,78.1
07/01/20,10.5,0.09,72.5
08/01/20,8.5,0.1,74.1
09/01/20,7.7,0.09,80.4
10/01/20,6.6,0.09,81.8
11/01/20,6.4,0.09,76.9
12/01/20,6.5,0.09,80.7
01/01/21,6.8,0.09,79
02/01/21,6.6,0.08,76.8
03/01/21,6.2,0.07,84.9
04/01/21,5.7,0.07,88.3
05/01/21,5.5,0.06,82.9
06/01/21,6.1,0.08,85.5
07/01/21,5.7,0.1,81.2
08/01/21,5.3,0.09,70.3
09/01/21,4.6,0.08,72.8
10/01/21,4.3,0.08,71.7
11/01/21,3.9,0.08,67.4
12/01/21,3.7,0.08,70.6
01/01/22,4.4,0.08,67.2
02/01/22,4.1,0.08,62.8
03/01/22,3.8,0.2,59.4
04/01/22,3.3,0.33,65.2
05/01/22,3.4,0.77,58.4
06/01/22,3.8,1.21,50
07/01/22,3.8,1.68,51.5
08/01/22,3.8,2.33,58.2
09/01/22,3.3,2.56,58.6
10/01/22,3.4,3.08,59.9
11/01/22,3.4,3.78,56.7
12/01/22,3.3,4.1,59.8
01/01/23,3.9,4.33,64.9
02/01/23,3.9,4.57,66.9
03/01/23,3.6,4.65,62
04/01/23,3.1,4.83,63.7
05/01/23,3.4,5.06,59
06/01/23,3.8,5.08,64.2
07/01/23,3.8,5.12,71.5
08/01/23,3.9,5.33,69.4
09/01/23,3.6,5.33,67.8
10/01/23,3.6,5.33,63.8
11/01/23,3.5,5.33,61.3
12/01/23,3.5,5.33,69.7
01/01/24,4.1,5.33,79
02/01/24,4.2,5.33,76.9
03/01/24,3.9,5.33,79.4
04/01/24,3.5,5.33,77.2
05/01/24,3.7,5.33,69.1
06/01/24,4.3,5.33,68.2
07/01/24,4.5,5.33,66.4
08/01/24,4.4,5.33,67.9
09/01/24,3.9,5.13,70.1
10/01/24,3.9,4.83,
