DATE,CEU4200000001,PAYNSA
01/01/00,15102.3,132677
02/01/00,14897.8,133236
03/01/00,14923.8,133601
04/01/00,15069,133541
05/01/00,15124.5,130667
06/01/00,15219.4,131334
07/01/00,15220.5,131929
08/01/00,15251.1,132335
09/01/00,15217.7,133042
10/01/00,15361.1,133421
11/01/00,15754.8,131931
12/01/00,16005.7,131860
01/01/01,15265.5,132128
02/01/01,15071.7,132329
03/01/01,15054,132142
04/01/01,15023.7,131758
05/01/01,15134.4,128876
06/01/01,15224.7,129347
07/01/01,15141.4,129955
08/01/01,15165.6,130543
09/01/01,15104.4,131314
10/01/01,15200.5,131695
11/01/01,15552.2,130255
12/01/01,15689.5,130341
01/01/02,14960.9,130859
02/01/02,14761.2,131530
03/01/02,14789.2,131651
04/01/02,14849.2,131242
05/01/02,14935.5,128561
06/01/02,15007.5,128977
07/01/02,14986.7,129474
08/01/02,14955.8,130131
09/01/02,14880.4,130892
10/01/02,15007.2,131221
11/01/02,15357.8,129884
12/01/02,15549.8,129935
01/01/03,14831.9,130590
02/01/03,14625.5,131383
03/01/03,14625.6,131548
04/01/03,14698.6,131368
05/01/03,14799.1,128709
06/01/03,14861.6,129320
07/01/03,14833.2,130361
08/01/03,14870.1,131477
09/01/03,14836.4,132380
10/01/03,14982.4,132824
11/01/03,15287.5,131664
12/01/03,15476.7,131685
01/01/04,14832.5,132398
02/01/04,14664.5,133380
03/01/04,14747.3,133630
04/01/04,14833.5,133399
05/01/04,14956.9,130695
06/01/04,15052.4,131519
07/01/04,15021.6,132358
08/01/04,15024.8,133571
09/01/04,14965.4,134384
10/01/04,15124.2,135053
11/01/04,15495.4,133993
12/01/04,15676.2,134244
01/01/05,15019.7,134869
02/01/05,14880.4,135599
03/01/05,14924.4,136158
04/01/05,15037.5,135954
05/01/05,15162.8,133302
06/01/05,15268.4,134229
07/01/05,15296.2,135209
08/01/05,15317,136124
09/01/05,15193.9,136927
10/01/05,15316.7,137432
11/01/05,15709.5,136256
12/01/05,15905.7,136462
01/01/06,15212.4,137129
02/01/06,15035.1,137831
03/01/06,15117.3,138217
04/01/06,15138.2,138107
05/01/06,15219.8,135317
06/01/06,15299,136008
07/01/06,15293.4,136907
08/01/06,15303.5,137712
09/01/06,15200.6,138654
10/01/06,15352,139156
11/01/06,15778.9,137760
12/01/06,15948.1,137872
01/01/07,15308.2,138435
02/01/07,15147,139181
03/01/07,15266.2,139494
04/01/07,15292.7,139279
05/01/07,15427.3,136252
06/01/07,15475.4,136770
07/01/07,15478.7,137361
08/01/07,15502.1,137894
09/01/07,15403.8,138470
10/01/07,15493,138665
11/01/07,15958.3,137184
12/01/07,16125.6,137077
01/01/08,15427.7,137130
02/01/08,15194.6,137424
03/01/08,15247.8,136744
04/01/08,15210.2,135713
05/01/08,15264.8,132021
06/01/08,15305.2,131792
07/01/08,15270.3,131659
08/01/08,15232.5,131842
09/01/08,15061,132114
10/01/08,15099.7,131933
11/01/08,15313.6,130337
12/01/08,15385.2,130216
01/01/09,14649.5,130571
02/01/09,14400.4,131172
03/01/09,14371.6,131220
04/01/09,14360.5,130673
05/01/09,14455.7,127804
06/01/09,14503.6,128240
07/01/09,14449.8,129073
08/01/09,14455.2,130195
09/01/09,14326.6,131313
10/01/09,14373.1,131431
11/01/09,14689.3,130094
12/01/09,14822.5,130158
01/01/10,14250.1,130650
02/01/10,14082.3,131624
03/01/10,14168.6,131930
04/01/10,14227.6,131622
05/01/10,14338.8,128760
06/01/10,14399.5,129576
07/01/10,14403.8,130482
08/01/10,14421.8,131698
09/01/10,14318.3,132382
10/01/10,14468.6,132871
11/01/10,14807.9,131599
12/01/10,14965.6,131870
01/01/11,14405.9,132617
02/01/11,14240.1,133540
03/01/11,14306.9,133876
04/01/11,14445.9,133701
05/01/11,14544.9,131094
06/01/11,14638.3,132050
07/01/11,14674.6,132954
08/01/11,14673,133836
09/01/11,14572.4,134648
10/01/11,14707.2,134986
11/01/11,15097.4,133778
12/01/11,15251.8,134156
01/01/12,14689.3,134783
02/01/12,14474.7,135633
03/01/12,14534.9,136023
04/01/12,14625.2,135947
05/01/12,14729.5,133063
06/01/12,14770.1,134102
07/01/12,14761.9,134901
08/01/12,14768.8,135905
09/01/12,14691.9,136797
10/01/12,14831.6,137209
11/01/12,15317.5,136034
12/01/12,15415.9,136471
01/01/13,14811.3,137077
02/01/13,14625.1,138001
03/01/13,14665,138525
04/01/13,14761.2,138274
05/01/13,14884.7,135471
06/01/13,14997.6,136211
07/01/13,15050,137169
08/01/13,15083.9,138306
09/01/13,15003.5,139217
10/01/13,15163.9,139804
11/01/13,15606.6,138727
12/01/13,15790.6,139105
01/01/14,15121.8,139793
02/01/14,14902.3,140848
03/01/14,14966.1,141314
04/01/14,15087.8,141306
05/01/14,15188.9,138491
06/01/14,15304.2,139323
07/01/14,15339.5,140080
08/01/14,15329.5,141264
09/01/14,15248.3,142205
10/01/14,15431.8,142681
11/01/14,15843.6,141729
12/01/14,15996.7,141921
01/01/15,15369.8,142477
02/01/15,15193.4,143626
03/01/15,15260.2,144049
04/01/15,15350.7,144045
05/01/15,15478.4,141072
06/01/15,15568.5,141901
07/01/15,15595,142797
08/01/15,15574.4,143893
09/01/15,15460,144540
10/01/15,15644.2,145205
11/01/15,16043.7,144232
12/01/15,16168.2,144485
01/01/16,15572.2,145150
02/01/16,15433.2,146032
03/01/16,15523.5,146465
04/01/16,15595.1,146252
05/01/16,15692.2,143376
06/01/16,15797.1,144405
07/01/16,15820.9,145062
08/01/16,15809.9,146086
09/01/16,15694.7,146924
10/01/16,15844.7,147566
11/01/16,16205.2,146464
12/01/16,16338.3,146782
01/01/17,15798.7,147169
02/01/17,15572.1,148182
03/01/17,15579.2,148758
04/01/17,15630.8,148509
05/01/17,15703.6,145412
06/01/17,15786.3,146649
07/01/17,15784.8,147352
08/01/17,15753.6,148329
09/01/17,15621.7,149264
10/01/17,15762.6,149930
11/01/17,16229.1,148767
12/01/17,16248.1,149236
01/01/18,15660.6,149545
02/01/18,15518.8,150553
03/01/18,15553.2,151032
04/01/18,15611.4,150831
05/01/18,15714.6,147878
06/01/18,15749.8,148683
07/01/18,15745.8,149360
08/01/18,15713.5,150422
09/01/18,15546.3,151093
10/01/18,15650.1,151714
11/01/18,16131.9,150658
12/01/18,16136.8,151094
01/01/19,15568.3,151510
02/01/19,15368.9,152500
03/01/19,15365.9,153095
04/01/19,15408.5,152845
05/01/19,15468.1,150056
